"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"210","COL","65+",0.380728362358354,0.344141420856787,0.297515515894715,0.249896318671967
"211","COM","0-14",NA,NA,NA,NA
"212","COM","15-24",0.0328760321545005,0.0330724078485157,0.0292721522937663,0.0178954978441467
"213","COM","25-54",0.118159824822294,0.0993804825163453,0.0995578180641668,0.0765629015465614
"214","COM","55-64",NA,NA,NA,0.162446659579054
"215","COM","65+",NA,NA,NA,NA
"216","CPV","0-14",0.0292802806461113,0.024441606939028,NA,NA
"217","CPV","15-24",0.106496071591348,0.0795572058466271,NA,NA
"218","CPV","25-54",0.338860122126508,0.325507406533966,0.243842509242948,0.238512997844579
"219","CPV","55-64",0.650116494636212,0.604720231830765,NA,0.38743645366528
"220","CPV","65+",0.831227881650102,0.78692657335698,0.687631948448692,0.549002872463372
"221","CRI","0-14",0.00524493862707063,0.00385251323501545,0.00312459449270233,0.00256267171330592
"222","CRI","15-24",0.0174445300812922,0.0122847033872379,0.0112925211046198,0.00779066734878871
"223","CRI","25-54",0.123584808022064,0.092397383115542,0.0692947162383047,0.0495399370834803
"224","CRI","55-64",0.292862567899398,0.261335699047353,0.197391831298374,0.153897226373254
"225","CRI","65+",0.618260819514958,0.530417454524307,0.402715140149005,0.320352161989908
"226","CUB","0-14",0.00501287749265876,0.00316328998944535,0.00242778277557806,0.00217523940619773
"227","CUB","15-24",0.0222727302935044,0.0148186548457794,0.00960321084953379,0.00662430905709234
"228","CUB","25-54",0.126730507206516,0.0936262844762677,0.0686293267423441,0.0500078271851139
"229","CUB","55-64",0.364257781296753,0.283293935715592,0.212485185252113,0.153977200221978
"230","CUB","65+",0.664849259578864,0.602060610494195,0.483879797151881,0.383661724316053
"231","CYM","0-14",0.00171272595548446,0.00130417207612413,0.00114395936759311,0.00119436327547338
"232","CYM","15-24",0.00577384640190144,0.0048837068331526,0.00414906163227879,0.0031466013327342
"233","CYM","25-54",NA,0.0173971230670086,NA,0.0122504906069508
"234","CYM","55-64",0.0679872221421906,NA,NA,0.0314137958963901
"235","CYM","65+",0.128610423985016,0.103975771253627,NA,0.0678229886642649
"236","CYP","0-14",0.00175723015056223,0.00142430314163069,0.00128632388885089,0.00142626351250517
"237","CYP","15-24",0.00424059519858878,0.0041125311419448,0.00349461410652963,0.00334066114990217
"238","CYP","25-54",0.0140789199212669,0.0137970509365313,0.0125607467793061,0.0109015144548026
"239","CYP","55-64",0.0246820979268441,0.0228330821814193,0.0215141538978877,0.0204934229720318
"240","CYP","65+",0.0341709956169599,0.0319848775808079,0.0335683223074935,0.0326273055343857
"241","CZE","0-14",0.00419639431773867,0.00332356468823831,0.00246094700128343,0.00194666507347107
