"","ISO3","AGE_BANDS","inc_band_per100k","WHO_R","tbi_prev","tbi_prev_low","tbi_prev_hi"
"277","EST","15-24","10-29","EURO",0.0124067530275547,0.0111319986100997,0.0136696571491729
"278","EST","25-54","10-29","EURO",0.0522301317171101,0.0378427354766056,0.0780466917588972
"279","EST","55-64","10-29","EURO",0.120090527486374,0.0608846296493206,0.2426415026609
"280","EST","65+","10-29","EURO",0.165787918781637,0.0672180213201674,0.423622061149979
"281","ETH","0-14","100-199","AFR-High",0.0263990724683915,0.0239774621715009,0.0290753028748824
"282","ETH","15-24","100-199","AFR-High",0.0972469875302939,0.0909923668306878,0.103261677548135
"283","ETH","25-54","100-199","AFR-High",0.334696585088588,0.281405017889725,0.411863606282359
"284","ETH","55-64","100-199","AFR-High",0.669226318926691,0.49825881199402,0.858050164801162
"285","ETH","65+","100-199","AFR-High",0.87406404131636,0.685352050774598,0.973489487292943
"286","FIN","0-14","0-9","EURO",0.00157573668650705,0.00139291004261568,0.00177608482802473
"287","FIN","15-24","0-9","EURO",0.00467676575980128,0.00428413954594545,0.00511112493528567
"288","FIN","25-54","0-9","EURO",0.0227375831687185,0.0139412198715497,0.0408839996734415
"289","FIN","55-64","0-9","EURO",0.061809104469434,0.0264347358385569,0.141760155869485
"290","FIN","65+","0-9","EURO",0.175515777698962,0.0438754735057061,0.442360636098884
"291","FJI","0-14","30-49","WPRO",0.00998770724660931,0.00889249967680806,0.0112321707856195
"292","FJI","15-24","30-49","WPRO",0.0281460879263363,0.0258155240469933,0.0305122158799741
"293","FJI","25-54","30-49","WPRO",0.0926017894097726,0.0580241755994692,0.148679184736762
"294","FJI","55-64","30-49","WPRO",0.188990060276419,0.0850474419840319,0.348402774879555
"295","FJI","65+","30-49","WPRO",0.350927614837543,0.119695622604178,0.673167811016101
"296","FRA","0-14","0-9","EURO",0.00222553099270291,0.0019876911491266,0.00248628681863765
"297","FRA","15-24","0-9","EURO",0.00616254107749504,0.00568647878107136,0.00671844809348694
"298","FRA","25-54","0-9","EURO",0.0296656378871054,0.0202488278461165,0.0505744495819314
"299","FRA","55-64","0-9","EURO",0.0655876737157124,0.032802516301387,0.161902798514652
"300","FRA","65+","0-9","EURO",0.15225506450099,0.0578033954015432,0.426262466700635
"301","GAB","0-14","200+","AFR-High",0.0642209775133144,0.057538533382619,0.0711477537892284
"302","GAB","15-24","200+","AFR-High",0.160039110054762,0.147664927258965,0.175361967698192
"303","GAB","25-54","200+","AFR-High",0.337613893997157,0.280430314012552,0.412444774321298
"304","GAB","55-64","200+","AFR-High",0.405445517342524,0.279578553909073,0.580383085990077
"305","GAB","65+","200+","AFR-High",0.436353941005458,0.279905741792997,0.653014474849214
"306","GBR","0-14","0-9","EURO",0.00251352023424734,0.00221996859785457,0.00283011645722936
